Breed Image,Breed Name,Breed Group,Breed Description,Origin,Coat Pattern,Coat Length,Health Issues,Lifespan,Good With,Shedding Amount,Playfulness,Affection Level,Activity Level,Tendency to Vocalize,Exercise Needs,Good with Cats,Good with Dogs,Good with Children,Good with Families,Lifespan Min Years,Lifespan Up to + Years
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F26gvR2TSfqEKHVldbY2aMZ%2Fbbf98ad647ece39d8f7600c37a0db32f%2Fpersian_cat__1_.jpg&w=1080&q=75,Persian Cat,Persian Breeds,"Persians are one of the most popular breeds and easily recognizable by their fluffy longhaired coat, flat face, large cheeks, and expressive eyes. They like quiet time with their humans. While they prefer to lounge and rest, they are also known for their surprise bursts of playful activity.",Iran,"Variety of solid, colorpoint, tabby, tortoiseshell, and calico patterns",Longhair,Tear duct drainage,15-20 years,"Children, Gentle Dogs, Cats, Families",Medium,Medium,High,Low,Low,Medium,1,1,1,1,15,20
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F26gvR2TSfqEKHVldbY2aMZ%2Fbbf98ad647ece39d8f7600c37a0db32f%2Fpersian_cat__1_.jpg&w=1080&q=75,Persian Cat,Persian Breeds,"Persians are one of the most popular breeds and easily recognizable by their fluffy longhaired coat, flat face, large cheeks, and expressive eyes. They like quiet time with their humans. While they prefer to lounge and rest, they are also known for their surprise bursts of playful activity.",Iran,"Variety of solid, colorpoint, tabby, tortoiseshell, and calico patterns",Longhair,Polycystic kidney disease (PKD),15-20 years,"Children, Gentle Dogs, Cats, Families",Medium,Medium,High,Low,Low,Medium,1,1,1,1,15,20
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F26gvR2TSfqEKHVldbY2aMZ%2Fbbf98ad647ece39d8f7600c37a0db32f%2Fpersian_cat__1_.jpg&w=1080&q=75,Persian Cat,Persian Breeds,"Persians are one of the most popular breeds and easily recognizable by their fluffy longhaired coat, flat face, large cheeks, and expressive eyes. They like quiet time with their humans. While they prefer to lounge and rest, they are also known for their surprise bursts of playful activity.",Iran,"Variety of solid, colorpoint, tabby, tortoiseshell, and calico patterns",Longhair,Hypertrophic cardiomyopathy (HCM),15-20 years,"Children, Gentle Dogs, Cats, Families",Medium,Medium,High,Low,Low,Medium,1,1,1,1,15,20
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F26gvR2TSfqEKHVldbY2aMZ%2Fbbf98ad647ece39d8f7600c37a0db32f%2Fpersian_cat__1_.jpg&w=1080&q=75,Persian Cat,Persian Breeds,"Persians are one of the most popular breeds and easily recognizable by their fluffy longhaired coat, flat face, large cheeks, and expressive eyes. They like quiet time with their humans. While they prefer to lounge and rest, they are also known for their surprise bursts of playful activity.",Iran,"Variety of solid, colorpoint, tabby, tortoiseshell, and calico patterns",Longhair,Feline lower urinary tract disease,15-20 years,"Children, Gentle Dogs, Cats, Families",Medium,Medium,High,Low,Low,Medium,1,1,1,1,15,20
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F26gvR2TSfqEKHVldbY2aMZ%2Fbbf98ad647ece39d8f7600c37a0db32f%2Fpersian_cat__1_.jpg&w=1080&q=75,Persian Cat,Persian Breeds,"Persians are one of the most popular breeds and easily recognizable by their fluffy longhaired coat, flat face, large cheeks, and expressive eyes. They like quiet time with their humans. While they prefer to lounge and rest, they are also known for their surprise bursts of playful activity.",Iran,"Variety of solid, colorpoint, tabby, tortoiseshell, and calico patterns",Longhair,Progressive retinal atrophy,15-20 years,"Children, Gentle Dogs, Cats, Families",Medium,Medium,High,Low,Low,Medium,1,1,1,1,15,20
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F6SRmODGVBJ1pM2OLLIQCgt%2F4fb6bca002aeeaa1ff4066895861cf26%2Fbritish-shorthair-cat__1_.jpg&w=1080&q=75,British Shorthair,Persian Breeds,"British Shorthairs make great family pets due to their loyal and devoted nature. They love to snuggle and spend time with their humans, and though they can be a bit shy with new people, they are quick to show their affection once they get to know you!",Europe,Variety of patterns,Shorthair,Polycystic kidney disease (PKD),12-16 years,"Children, Dogs, Cats, Families",Medium,Medium,High,Medium,Low,Medium,1,1,1,1,12,16
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F6SRmODGVBJ1pM2OLLIQCgt%2F4fb6bca002aeeaa1ff4066895861cf26%2Fbritish-shorthair-cat__1_.jpg&w=1080&q=75,British Shorthair,Persian Breeds,"British Shorthairs make great family pets due to their loyal and devoted nature. They love to snuggle and spend time with their humans, and though they can be a bit shy with new people, they are quick to show their affection once they get to know you!",Europe,Variety of patterns,Shorthair,Hypertrophic cardiomyopathy (HCM),12-16 years,"Children, Dogs, Cats, Families",Medium,Medium,High,Medium,Low,Medium,1,1,1,1,12,16
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F6SRmODGVBJ1pM2OLLIQCgt%2F4fb6bca002aeeaa1ff4066895861cf26%2Fbritish-shorthair-cat__1_.jpg&w=1080&q=75,British Shorthair,Persian Breeds,"British Shorthairs make great family pets due to their loyal and devoted nature. They love to snuggle and spend time with their humans, and though they can be a bit shy with new people, they are quick to show their affection once they get to know you!",Europe,Variety of patterns,Shorthair,Prone to obesity,12-16 years,"Children, Dogs, Cats, Families",Medium,Medium,High,Medium,Low,Medium,1,1,1,1,12,16
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5aDOPOV4ic3iZDdYMyM9tk%2Fa2e6930fef670eda73c65b801dc785b7%2Fthai_siamese_cat_breed.jpg&w=1080&q=75,Thai Siamese,Eastern Breeds,"Thai Siamese cats form strong bonds with their families and are known for their loyal and affectionate nature. These clever, inquisitive, and incredibly athletic felines love being in the center of all the action. They have big personalities and aren’t afraid to tell you all about it!",Thailand,Colorpoint,Shorthair,Feline OCD,10-12 years,"Children, Dogs, Cats, Families",Low,High,High,High,High,High,1,1,1,1,10,12
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5aDOPOV4ic3iZDdYMyM9tk%2Fa2e6930fef670eda73c65b801dc785b7%2Fthai_siamese_cat_breed.jpg&w=1080&q=75,Thai Siamese,Eastern Breeds,"Thai Siamese cats form strong bonds with their families and are known for their loyal and affectionate nature. These clever, inquisitive, and incredibly athletic felines love being in the center of all the action. They have big personalities and aren’t afraid to tell you all about it!",Thailand,Colorpoint,Shorthair,Diabetes mellitus,10-12 years,"Children, Dogs, Cats, Families",Low,High,High,High,High,High,1,1,1,1,10,12
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5aDOPOV4ic3iZDdYMyM9tk%2Fa2e6930fef670eda73c65b801dc785b7%2Fthai_siamese_cat_breed.jpg&w=1080&q=75,Thai Siamese,Eastern Breeds,"Thai Siamese cats form strong bonds with their families and are known for their loyal and affectionate nature. These clever, inquisitive, and incredibly athletic felines love being in the center of all the action. They have big personalities and aren’t afraid to tell you all about it!",Thailand,Colorpoint,Shorthair,Feline hyperesthesia syndrome,10-12 years,"Children, Dogs, Cats, Families",Low,High,High,High,High,High,1,1,1,1,10,12
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5aDOPOV4ic3iZDdYMyM9tk%2Fa2e6930fef670eda73c65b801dc785b7%2Fthai_siamese_cat_breed.jpg&w=1080&q=75,Thai Siamese,Eastern Breeds,"Thai Siamese cats form strong bonds with their families and are known for their loyal and affectionate nature. These clever, inquisitive, and incredibly athletic felines love being in the center of all the action. They have big personalities and aren’t afraid to tell you all about it!",Thailand,Colorpoint,Shorthair,Crossed eyes,10-12 years,"Children, Dogs, Cats, Families",Low,High,High,High,High,High,1,1,1,1,10,12
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5aDOPOV4ic3iZDdYMyM9tk%2Fa2e6930fef670eda73c65b801dc785b7%2Fthai_siamese_cat_breed.jpg&w=1080&q=75,Thai Siamese,Eastern Breeds,"Thai Siamese cats form strong bonds with their families and are known for their loyal and affectionate nature. These clever, inquisitive, and incredibly athletic felines love being in the center of all the action. They have big personalities and aren’t afraid to tell you all about it!",Thailand,Colorpoint,Shorthair,Lung infections,10-12 years,"Children, Dogs, Cats, Families",Low,High,High,High,High,High,1,1,1,1,10,12
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5aDOPOV4ic3iZDdYMyM9tk%2Fa2e6930fef670eda73c65b801dc785b7%2Fthai_siamese_cat_breed.jpg&w=1080&q=75,Thai Siamese,Eastern Breeds,"Thai Siamese cats form strong bonds with their families and are known for their loyal and affectionate nature. These clever, inquisitive, and incredibly athletic felines love being in the center of all the action. They have big personalities and aren’t afraid to tell you all about it!",Thailand,Colorpoint,Shorthair,Vestibular disease,10-12 years,"Children, Dogs, Cats, Families",Low,High,High,High,High,High,1,1,1,1,10,12
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5aDOPOV4ic3iZDdYMyM9tk%2Fa2e6930fef670eda73c65b801dc785b7%2Fthai_siamese_cat_breed.jpg&w=1080&q=75,Thai Siamese,Eastern Breeds,"Thai Siamese cats form strong bonds with their families and are known for their loyal and affectionate nature. These clever, inquisitive, and incredibly athletic felines love being in the center of all the action. They have big personalities and aren’t afraid to tell you all about it!",Thailand,Colorpoint,Shorthair,Neoplastic and gastrointestinal disorders,10-12 years,"Children, Dogs, Cats, Families",Low,High,High,High,High,High,1,1,1,1,10,12
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F1zHL2q1IBozaKy4xpRjyKA%2F2761f9c43f7e6ba4008280634019edea%2Fpeterbald_cat.jpg&w=1080&q=75,Peterbald,Eastern Breeds,"Peterbalds are extremely loyal cats with a sweet and affectionate nature. Known for playing “host” to guests in the home, they get along just as well with strangers as they do with the children, pets, and other family members in their home.",Russia,Variety of patterns,Shorthair,No strongly associated genetic conditions,10-15 years,"Children, Dogs, Cats, Families",Low,High,High,Medium,Medium,Medium,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5dPPfjE3lQ5Hb3xvuqB3x2%2F1e7d2688d4248b219d015c0a17f1480f%2Fragdoll_cat.webp&w=1080&q=75,Ragdoll,Western Breeds,Ragdolls are blue-eyed beauties known for their affectionate nature and tendency to go “limp like a ragdoll” when carried. They make wonderful family pets and get along well with other cats and dogs.,USA,"Bi-color, van, mitted, colorpoint",Medium,Feline Infectious Peritonitis,18-20 years,"Children, Dogs, Cats, Families",Medium,Medium,High,Medium,Medium,Medium,1,1,1,1,18,20
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F5dPPfjE3lQ5Hb3xvuqB3x2%2F1e7d2688d4248b219d015c0a17f1480f%2Fragdoll_cat.webp&w=1080&q=75,Ragdoll,Western Breeds,Ragdolls are blue-eyed beauties known for their affectionate nature and tendency to go “limp like a ragdoll” when carried. They make wonderful family pets and get along well with other cats and dogs.,USA,"Bi-color, van, mitted, colorpoint",Medium,Hypertrophic cardiomyopathy (HCM),18-20 years,"Children, Dogs, Cats, Families",Medium,Medium,High,Medium,Medium,Medium,1,1,1,1,18,20
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F1Y4topTmFlOiFZ8bVM8fFS%2Fd9eeb50812892891e8ef6ea4e850628d%2FMunchkin_cat.png&w=1080&q=75,Munchkin Cat,Western Breeds,"The Munchkin is a speedy little bundle of joy. This relatively young feline breed is infamous for its short legs, intelligent mind, and friendly, people-oriented demeanor. The characteristic short legs of the Munchkin cats are determined by the Munchkin ""M"" gene. Sporting either short, plush coats or medium to long silky ones, these energetic kitties come in all coat colors and patterns.",USA,All coat patterns,Shorthair,No strongly associated genetic conditions,12-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Low,High,1,1,1,1,12,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F1Y4topTmFlOiFZ8bVM8fFS%2Fd9eeb50812892891e8ef6ea4e850628d%2FMunchkin_cat.png&w=1080&q=75,Munchkin Cat,Western Breeds,"The Munchkin is a speedy little bundle of joy. This relatively young feline breed is infamous for its short legs, intelligent mind, and friendly, people-oriented demeanor. The characteristic short legs of the Munchkin cats are determined by the Munchkin ""M"" gene. Sporting either short, plush coats or medium to long silky ones, these energetic kitties come in all coat colors and patterns.",USA,All coat patterns,Longhair,No strongly associated genetic conditions,12-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Low,High,1,1,1,1,12,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F2F1Ezrd3m9B1frLRVXFwBj%2F09456cf62991e261712b2a646b7fb4fe%2Fnorwegian_forest_cat__1_.jpg&w=1080&q=75,Norwegian Forest Cat,Western Breeds,"Norwegian Forest Cats are exceptionally loyal companions known for their loving and gentle nature. These intelligent, longhaired beauties love to climb to new heights and observe their environment with their large, expressive eyes.",Norway,"Variety of patterns, but not colorpoint",Longhair,Glycogen storage disease (Type IV),10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F2F1Ezrd3m9B1frLRVXFwBj%2F09456cf62991e261712b2a646b7fb4fe%2Fnorwegian_forest_cat__1_.jpg&w=1080&q=75,Norwegian Forest Cat,Western Breeds,"Norwegian Forest Cats are exceptionally loyal companions known for their loving and gentle nature. These intelligent, longhaired beauties love to climb to new heights and observe their environment with their large, expressive eyes.",Norway,"Variety of patterns, but not colorpoint",Longhair,Hip dysplasia,10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
https://basepaws.com//_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2F7hqiona4456t%2F2F1Ezrd3m9B1frLRVXFwBj%2F09456cf62991e261712b2a646b7fb4fe%2Fnorwegian_forest_cat__1_.jpg&w=1080&q=75,Norwegian Forest Cat,Western Breeds,"Norwegian Forest Cats are exceptionally loyal companions known for their loving and gentle nature. These intelligent, longhaired beauties love to climb to new heights and observe their environment with their large, expressive eyes.",Norway,"Variety of patterns, but not colorpoint",Longhair,Diabetes mellitus,10-15 years,"Children, Dogs, Cats, Families",Medium,High,High,High,Medium,High,1,1,1,1,10,15
